2021-01-09 14:59:22 install libapt-pkg5.0:amd64 <none> 1.8.2
2021-01-09 14:59:22 status half-installed libapt-pkg5.0:amd64 1.8.2
2021-01-09 14:59:22 status unpacked libapt-pkg5.0:amd64 1.8.2
2021-01-09 14:59:22 install libgmp10:amd64 <none> 2:6.1.2+dfsg-4
2021-01-09 14:59:22 status half-installed libgmp10:amd64 2:6.1.2+dfsg-4
2021-01-09 14:59:22 status unpacked libgmp10:amd64 2:6.1.2+dfsg-4
2021-01-09 14:59:22 install libnettle6:amd64 <none> 3.4.1-1
2021-01-09 14:59:22 status half-installed libnettle6:amd64 3.4.1-1
2021-01-09 14:59:22 status unpacked libnettle6:amd64 3.4.1-1
2021-01-09 14:59:22 install libhogweed4:amd64 <none> 3.4.1-1
2021-01-09 14:59:22 status half-installed libhogweed4:amd64 3.4.1-1
2021-01-09 14:59:22 status unpacked libhogweed4:amd64 3.4.1-1
2021-01-09 14:59:22 install libffi6:amd64 <none> 3.2.1-9
2021-01-09 14:59:22 status half-installed libffi6:amd64 3.2.1-9
2021-01-09 14:59:22 status unpacked libffi6:amd64 3.2.1-9
2021-01-09 14:59:22 install libp11-kit0:amd64 <none> 0.23.15-2
2021-01-09 14:59:22 status half-installed libp11-kit0:amd64 0.23.15-2
2021-01-09 14:59:22 status unpacked libp11-kit0:amd64 0.23.15-2
2021-01-09 14:59:23 install libgnutls30:amd64 <none> 3.6.7-4
2021-01-09 14:59:23 status half-installed libgnutls30:amd64 3.6.7-4
2021-01-09 14:59:23 status unpacked libgnutls30:amd64 3.6.7-4
2021-01-09 14:59:23 install apt:amd64 <none> 1.8.2
2021-01-09 14:59:23 status half-installed apt:amd64 1.8.2
2021-01-09 14:59:23 status unpacked apt:amd64 1.8.2
2021-01-09 14:59:23 upgrade base-files:amd64 10.3+deb10u2 10.3+deb10u2
2021-01-09 14:59:23 status half-configured base-files:amd64 10.3+deb10u2
2021-01-09 14:59:23 status unpacked base-files:amd64 10.3+deb10u2
2021-01-09 14:59:23 status half-installed base-files:amd64 10.3+deb10u2
2021-01-09 14:59:23 status unpacked base-files:amd64 10.3+deb10u2
2021-01-09 14:59:23 install libdebconfclient0:amd64 <none> 0.249
2021-01-09 14:59:23 status half-installed libdebconfclient0:amd64 0.249
2021-01-09 14:59:23 status unpacked libdebconfclient0:amd64 0.249
2021-01-09 14:59:23 upgrade base-passwd:amd64 3.5.46 3.5.46
2021-01-09 14:59:23 status half-configured base-passwd:amd64 3.5.46
2021-01-09 14:59:23 status unpacked base-passwd:amd64 3.5.46
2021-01-09 14:59:23 status half-installed base-passwd:amd64 3.5.46
2021-01-09 14:59:23 status unpacked base-passwd:amd64 3.5.46
2021-01-09 14:59:23 install debianutils:amd64 <none> 4.8.6.1
2021-01-09 14:59:23 status half-installed debianutils:amd64 4.8.6.1
2021-01-09 14:59:23 status unpacked debianutils:amd64 4.8.6.1
2021-01-09 14:59:23 install bash:amd64 <none> 5.0-4
2021-01-09 14:59:23 status half-installed bash:amd64 5.0-4
2021-01-09 14:59:24 status unpacked bash:amd64 5.0-4
2021-01-09 14:59:24 install bsdutils:amd64 <none> 1:2.33.1-0.1
2021-01-09 14:59:24 status half-installed bsdutils:amd64 1:2.33.1-0.1
2021-01-09 14:59:24 status unpacked bsdutils:amd64 1:2.33.1-0.1
2021-01-09 14:59:24 install coreutils:amd64 <none> 8.30-3
2021-01-09 14:59:24 status half-installed coreutils:amd64 8.30-3
2021-01-09 14:59:25 status unpacked coreutils:amd64 8.30-3
2021-01-09 14:59:25 install dash:amd64 <none> 0.5.10.2-5
2021-01-09 14:59:25 status half-installed dash:amd64 0.5.10.2-5
2021-01-09 14:59:25 status unpacked dash:amd64 0.5.10.2-5
2021-01-09 14:59:25 install diffutils:amd64 <none> 1:3.7-3
2021-01-09 14:59:25 status half-installed diffutils:amd64 1:3.7-3
2021-01-09 14:59:25 status unpacked diffutils:amd64 1:3.7-3
2021-01-09 14:59:25 install libblkid1:amd64 <none> 2.33.1-0.1
2021-01-09 14:59:25 status half-installed libblkid1:amd64 2.33.1-0.1
2021-01-09 14:59:25 status unpacked libblkid1:amd64 2.33.1-0.1
2021-01-09 14:59:25 install libcom-err2:amd64 <none> 1.44.5-1+deb10u2
2021-01-09 14:59:25 status half-installed libcom-err2:amd64 1.44.5-1+deb10u2
2021-01-09 14:59:25 status unpacked libcom-err2:amd64 1.44.5-1+deb10u2
2021-01-09 14:59:25 install libext2fs2:amd64 <none> 1.44.5-1+deb10u2
2021-01-09 14:59:25 status half-installed libext2fs2:amd64 1.44.5-1+deb10u2
2021-01-09 14:59:25 status unpacked libext2fs2:amd64 1.44.5-1+deb10u2
2021-01-09 14:59:25 install e2fsprogs:amd64 <none> 1.44.5-1+deb10u2
2021-01-09 14:59:25 status half-installed e2fsprogs:amd64 1.44.5-1+deb10u2
2021-01-09 14:59:26 status unpacked e2fsprogs:amd64 1.44.5-1+deb10u2
2021-01-09 14:59:26 install libfdisk1:amd64 <none> 2.33.1-0.1
2021-01-09 14:59:26 status half-installed libfdisk1:amd64 2.33.1-0.1
2021-01-09 14:59:26 status unpacked libfdisk1:amd64 2.33.1-0.1
2021-01-09 14:59:26 install libmount1:amd64 <none> 2.33.1-0.1
2021-01-09 14:59:26 status half-installed libmount1:amd64 2.33.1-0.1
2021-01-09 14:59:26 status unpacked libmount1:amd64 2.33.1-0.1
2021-01-09 14:59:26 install libncursesw6:amd64 <none> 6.1+20181013-2+deb10u2
2021-01-09 14:59:26 status half-installed libncursesw6:amd64 6.1+20181013-2+deb10u2
2021-01-09 14:59:26 status unpacked libncursesw6:amd64 6.1+20181013-2+deb10u2
2021-01-09 14:59:26 install fdisk:amd64 <none> 2.33.1-0.1
2021-01-09 14:59:26 status half-installed fdisk:amd64 2.33.1-0.1
2021-01-09 14:59:26 status unpacked fdisk:amd64 2.33.1-0.1
2021-01-09 14:59:26 install findutils:amd64 <none> 4.6.0+git+20190209-2
2021-01-09 14:59:26 status half-installed findutils:amd64 4.6.0+git+20190209-2
2021-01-09 14:59:26 status unpacked findutils:amd64 4.6.0+git+20190209-2
2021-01-09 14:59:27 install grep:amd64 <none> 3.3-1
2021-01-09 14:59:27 status half-installed grep:amd64 3.3-1
2021-01-09 14:59:27 status unpacked grep:amd64 3.3-1
2021-01-09 14:59:27 install gzip:amd64 <none> 1.9-3
2021-01-09 14:59:27 status half-installed gzip:amd64 1.9-3
2021-01-09 14:59:27 status unpacked gzip:amd64 1.9-3
2021-01-09 14:59:27 install hostname:amd64 <none> 3.21
2021-01-09 14:59:27 status half-installed hostname:amd64 3.21
2021-01-09 14:59:27 status unpacked hostname:amd64 3.21
2021-01-09 14:59:27 install init-system-helpers:all <none> 1.56+nmu1
2021-01-09 14:59:27 status half-installed init-system-helpers:all 1.56+nmu1
2021-01-09 14:59:27 status unpacked init-system-helpers:all 1.56+nmu1
2021-01-09 14:59:27 install libc-bin:amd64 <none> 2.28-10
2021-01-09 14:59:27 status half-installed libc-bin:amd64 2.28-10
2021-01-09 14:59:28 status unpacked libc-bin:amd64 2.28-10
2021-01-09 14:59:28 install libpam-runtime:all <none> 1.3.1-5
2021-01-09 14:59:28 status half-installed libpam-runtime:all 1.3.1-5
2021-01-09 14:59:28 status unpacked libpam-runtime:all 1.3.1-5
2021-01-09 14:59:28 upgrade mawk:amd64 1.3.3-17+b3 1.3.3-17+b3
2021-01-09 14:59:28 status half-configured mawk:amd64 1.3.3-17+b3
2021-01-09 14:59:28 status unpacked mawk:amd64 1.3.3-17+b3
2021-01-09 14:59:28 status half-installed mawk:amd64 1.3.3-17+b3
2021-01-09 14:59:28 status unpacked mawk:amd64 1.3.3-17+b3
2021-01-09 14:59:28 install libunistring2:amd64 <none> 0.9.10-1
2021-01-09 14:59:28 status half-installed libunistring2:amd64 0.9.10-1
2021-01-09 14:59:28 status unpacked libunistring2:amd64 0.9.10-1
2021-01-09 14:59:28 install libselinux1:amd64 <none> 2.8-1+b1
2021-01-09 14:59:28 status half-installed libselinux1:amd64 2.8-1+b1
2021-01-09 14:59:28 status unpacked libselinux1:amd64 2.8-1+b1
2021-01-09 14:59:28 install zlib1g:amd64 <none> 1:1.2.11.dfsg-1
2021-01-09 14:59:28 status half-installed zlib1g:amd64 1:1.2.11.dfsg-1
2021-01-09 14:59:28 status unpacked zlib1g:amd64 1:1.2.11.dfsg-1
2021-01-09 14:59:28 install tar:amd64 <none> 1.30+dfsg-6
2021-01-09 14:59:28 status half-installed tar:amd64 1.30+dfsg-6
2021-01-09 14:59:28 status unpacked tar:amd64 1.30+dfsg-6
2021-01-09 14:59:28 upgrade perl-base:amd64 5.28.1-6 5.28.1-6
2021-01-09 14:59:28 status half-configured perl-base:amd64 5.28.1-6
2021-01-09 14:59:28 status unpacked perl-base:amd64 5.28.1-6
2021-01-09 14:59:28 status half-installed perl-base:amd64 5.28.1-6
2021-01-09 14:59:29 status unpacked perl-base:amd64 5.28.1-6
2021-01-09 14:59:29 install libsemanage-common:all <none> 2.8-2
2021-01-09 14:59:29 status half-installed libsemanage-common:all 2.8-2
2021-01-09 14:59:29 status unpacked libsemanage-common:all 2.8-2
2021-01-09 14:59:29 install libsepol1:amd64 <none> 2.8-1
2021-01-09 14:59:29 status half-installed libsepol1:amd64 2.8-1
2021-01-09 14:59:29 status unpacked libsepol1:amd64 2.8-1
2021-01-09 14:59:29 install libsemanage1:amd64 <none> 2.8-2
2021-01-09 14:59:29 status half-installed libsemanage1:amd64 2.8-2
2021-01-09 14:59:29 status unpacked libsemanage1:amd64 2.8-2
2021-01-09 14:59:29 install passwd:amd64 <none> 1:4.5-1.1
2021-01-09 14:59:29 status half-installed passwd:amd64 1:4.5-1.1
2021-01-09 14:59:30 status unpacked passwd:amd64 1:4.5-1.1
2021-01-09 14:59:30 install libstdc++6:amd64 <none> 8.3.0-6
2021-01-09 14:59:30 status half-installed libstdc++6:amd64 8.3.0-6
2021-01-09 14:59:30 status unpacked libstdc++6:amd64 8.3.0-6
2021-01-09 14:59:30 install libsystemd0:amd64 <none> 241-7~deb10u2
2021-01-09 14:59:30 status half-installed libsystemd0:amd64 241-7~deb10u2
2021-01-09 14:59:30 status unpacked libsystemd0:amd64 241-7~deb10u2
2021-01-09 14:59:30 install libudev1:amd64 <none> 241-7~deb10u2
2021-01-09 14:59:30 status half-installed libudev1:amd64 241-7~deb10u2
2021-01-09 14:59:30 status unpacked libudev1:amd64 241-7~deb10u2
2021-01-09 14:59:30 install libzstd1:amd64 <none> 1.3.8+dfsg-3
2021-01-09 14:59:30 status half-installed libzstd1:amd64 1.3.8+dfsg-3
